Position,Candidate,Party,Votes,% Vote Share,Valid Votes,constituency,Year
1,Alhaj Ghulam Ahmad Bilour,ANP,25930,68.0,37941,NA-1,1997
2,Qamar Abbas,PPP,11275,29.0,37941,NA-1,1997
3,Aurangzeb Mohmand,IND,223,1.0,37941,NA-1,1997
4,Ghulam M. Bazaz,IND,193,1.0,37941,NA-1,1997
5,Rehmat Gul Afridi,IND,150,0.0,37941,NA-1,1997
6,M. Khurshid Anwar,IND,67,0.0,37941,NA-1,1997
7,Qamar Ali Shah,IND,54,0.0,37941,NA-1,1997
8,M. Jehanzeb Khan,Others,49,0.0,37941,NA-1,1997
1,Arbab M. Jehangir Khan,ANP,24094,53.0,44562,NA-2,1997
2,Haji Ghulam Ali,Others,12415,27.0,44562,NA-2,1997
3,Ibadatullah Khan,PTI,4348,10.0,44562,NA-2,1997
4,M. Fayyaz Khan Khalil,PPP-SB,1859,4.0,44562,NA-2,1997
5,Taj M. Amar,Others,645,1.0,44562,NA-2,1997
6,Arbab Mushtaq Ahmad,Others,631,1.0,44562,NA-2,1997
7,Imtiaz Illahi Paracha,IND,570,1.0,44562,NA-2,1997
1,Arbab Saadullah Khan,ANP,48451,65.0,71733,NA-3,1997
2,Sardar Ali Khan,PPP,20291,27.0,71733,NA-3,1997
3,Salim Akbar Afridi,PPP-SB,2149,3.0,71733,NA-3,1997
4,M. Naeem Qasmi,IND,842,1.0,71733,NA-3,1997
1,Wali M. Khan,ANP,43511,61.0,69326,NA-4,1997
2,Naseerullah Babar,PPP,22213,31.0,69326,NA-4,1997
3,Umar Khan Yusufzai,PTI,3022,4.0,69326,NA-4,1997
4,S. Azmat Ali Shah Gilani (R),IND,580,1.0,69326,NA-4,1997
1,Asfandyar Wali Khan,ANP,53059,51.0,101785,NA-5,1997
2,Molana Gohar Shah,Others,34733,33.0,101785,NA-5,1997
3,Ijaz Khisro Khan,PPP-SB,5508,5.0,101785,NA-5,1997
4,Ziarat Gul,IND,3818,4.0,101785,NA-5,1997
5,Hikmat Shah,IND,1919,2.0,101785,NA-5,1997
6,M. Nazeef,PKMAP,1485,1.0,101785,NA-5,1997
7,Eng. Fawad-ul-Haq,Others,1263,1.0,101785,NA-5,1997
1,Haji Naseem-ur-Rehman,ANP,36412,60.0,59939,NA-6,1997
2,Haji M. Yaqoob,PPP,15564,25.0,59939,NA-6,1997
3,Latif-ur-Rehman,PTI,7264,12.0,59939,NA-6,1997
4,Fazl-e-Azim Khaksar,Others,699,1.0,59939,NA-6,1997
1,M. Azam Khan,ANP,29117,39.0,73709,NA-7,1997
2,M. Idrees Khan,IND,17104,23.0,73709,NA-7,1997
3,Haji Sarfraz Khan,PPP,15743,21.0,73709,NA-7,1997
4,M. Zahir,PAP,4935,7.0,73709,NA-7,1997
5,Sikandar Khan,PTI,3704,5.0,73709,NA-7,1997
6,Molana Noor-ul-Haq,Others,1208,2.0,73709,NA-7,1997
7,Ziarat Khan Tormand,IND,959,1.0,73709,NA-7,1997
8,Aurangzeb Khan,Others,542,1.0,73709,NA-7,1997
9,Col. (R) Haji Syed Nasir Shah,Others,397,1.0,73709,NA-7,1997
1,Haji Rehmanullah,ANP,39828,36.0,106100,NA-8,1997
2,Iftikhar Ahmad Khan,PML-N,36589,33.0,106100,NA-8,1997
3,Munfat Khan,PPP,12279,11.0,106100,NA-8,1997
4,Asad Qaisar,PTI,4113,4.0,106100,NA-8,1997
5,Awal Sher Khan,IND,4009,4.0,106100,NA-8,1997
6,Syed Zabihullah,PPP-SB,2399,2.0,106100,NA-8,1997
7,Ayub Khan,Others,2031,2.0,106100,NA-8,1997
8,Hakim Khan,PAP,1770,2.0,106100,NA-8,1997
9,Shad Nabi,IND,1219,1.0,106100,NA-8,1997
10,Yaqoob Khan,Others,1039,1.0,106100,NA-8,1997
11,Gul Mast Khan (R),IND,683,1.0,106100,NA-8,1997
12,Abdul Hafeez Khan,IND,141,0.0,106100,NA-8,1997
1,Javed Ibrahim Paracha,PML-N,62412,64.0,95151,NA-9,1997
2,Iftikhar Hussain Gilani,IND,17142,18.0,95151,NA-9,1997
3,Syed Abid Jawad,PPP-SB,5894,6.0,95151,NA-9,1997
4,Malik Fida Muhammad,JUI-S,5082,5.0,95151,NA-9,1997
5,Alhaj M. Hafizullah,IND,4621,5.0,95151,NA-9,1997
1,Sahms-ur-Rehman,ANP,22959,40.0,55831,NA-10,1997
2,M. Aslam Khan Khattak,IND,15596,27.0,55831,NA-10,1997
3,Raza Kuli Khan Khattak,PML-N,5945,10.0,55831,NA-10,1997
4,Malik Zafar Azam,IND,5845,10.0,55831,NA-10,1997
5,Brig. (R) Bashir Hussain,PTI,2661,5.0,55831,NA-10,1997
6,Molana Mir Zaqeem Khan,JUI-S,1654,3.0,55831,NA-10,1997
7,Altaf Qadir,IND,713,1.0,55831,NA-10,1997
8,M. Riaz,IND,310,1.0,55831,NA-10,1997
9,Abdul Haleem Khattak,IND,148,0.0,55831,NA-10,1997
1,Sardar Mehtab Ahmad Khan,PML-N,55341,62.0,87263,NA-11,1997
2,Amanullah Khan Jadoon,IND,21253,24.0,87263,NA-11,1997
3,Imran Khan,PTI,5227,6.0,87263,NA-11,1997
4,S. M. Gulzar Abbasi,PPP,2509,3.0,87263,NA-11,1997
5,Rashida Batool,PPP-SB,1405,2.0,87263,NA-11,1997
6,Haji Mushtaq Awan,IND,1097,1.0,87263,NA-11,1997
7,Qari Mahboob-ur-Rehman Qureshi,Others,431,0.0,87263,NA-11,1997
1,Mian M. Nawaz Sharif,PML-N,62070,69.0,87490,NA-12,1997
2,Sardar Haider Zaman,IND,20315,23.0,87490,NA-12,1997
3,Suleman Faris,PTI,3187,4.0,87490,NA-12,1997
4,Abdul Latif Abbasi,PPP,1918,2.0,87490,NA-12,1997
